INSERT INTO wali_siswa (nik, nama_w, alamat_w, tanggal_w) VALUES
('1497635421691210','Tillie Summers','Ahomek Lane','2101-05-05'),
('8972960727198585','Alexander Hubbard','Piaco Road','2096-07-20'),
('9388638762927185','Nathaniel Willis','Zuzas Park','2034-09-01'),
('4818242160907634','Barry Abbott','Utwe Court','2081-09-12'),
('1409136721842389','Mattie Tate','Fedbi Road','2092-11-15'),
('8002153031550212','Roger Kelley','Boloh Point','2072-01-10'),
('9877258617730187','Bill Chavez','Cesug Heights','2025-04-14'),
('4643670596021344','Harvey Greene','Nozek Grove','2119-12-07'),
('8846919598898786','Francis Crawford','Piphu Center','2062-10-25'),
('9403369174122040','Mason Coleman','Sevav River','2095-08-04'),
('7736046860577713','Sue Rowe','Wuvib Park','2028-05-16'),
('9024481817756133','Floyd Wallace','Boru Heights','2099-11-17'),
('8561785248174519','Johnny Mills','Ivbep Heights','2072-02-13'),
('6913118454013703','Sophia Hoffman','Porum Glen','2043-05-18'),
('3886060721709582','Wayne Neal','Lepej Road','2049-08-03'),
('3750574149023159','Johnny Jones','Eftit Loop','2035-08-25'),
('8280527874869105','Harriet Hammond','Vohjam Path','2121-09-12'),
('9344745331438428','Cameron Benson','Gettek Court','2026-02-24'),
('4187340343736310','Noah Carter','Dadas Center','2097-09-27'),
('3634984784433306','Barbara Jordan','Evzas Place','2084-04-01'),
('5170453169133248','Elijah Adams','Jicih Ridge','2034-05-02'),
('1351003993527278','Oscar Lewis','Dabisi Pass','2091-12-13'),
('6927597719254648','Effie Hernandez','Gofi Boulevard','2031-03-02'),
('8835349788104043','Nannie Williams','Hakke Glen','2072-11-26'),
('4968572330863586','Francis Manning','Gaspuv Highway','2101-02-22'),
('1183198566121269','Roxie Palmer','Gamur Square','2033-03-21'),
('2092547100318544','Adrian Murphy','Saphot Extension','2084-08-04'),
('2045865324894403','Lula Owens','Liffi Plaza','2077-12-04'),
('4718445532381438','Eunice Boyd','Jiru Pike','2105-11-22'),
('2072043590656526','Aaron Dixon','Opiso Key','2055-02-11'),
('0303322004853774','Norman Gregory','Geumo Grove','2041-02-16'),
('5447811500499055','Lilly Garrett','Cosa Turnpike','2119-04-22'),
('1122700172276394','Marc Erickson','Uluzi Junction','2105-01-10'),
('1478820250159715','Mario Wong','Hevumo Trail','2047-07-08'),
('2878006071542593','Joseph Gardner','Bokci Junction','2122-10-13'),
('6808227013674539','Earl Steele','Puvo Mill','2028-04-01'),
('2328708316654140','Noah Alexander','Ceow Street','2070-05-03'),
('3498139064434850','Shawn McCoy','Agusu Parkway','2089-02-14'),
('8354932062800943','Ola Sanchez','Sibhe Plaza','2027-09-24'),
('4684627375355154','Frank Griffin','Tobaro Highway','2031-07-27'),
('6577312125302924','Theresa Frazier','Napga Grove','2102-03-28'),
('2121963091996028','Lina Bradley','Jowo Park','2090-11-28'),
('1101318672929519','Lewis Weber','Duwe Heights','2052-02-03'),
('1086402797646552','Ophelia Barber','Pugvo Pike','2082-05-27'),
('8633661246969472','Madge Thompson','Rubit Pike','2060-06-03'),
('2175115590083874','Jessie Nguyen','Vogze Path','2048-02-04'),
('9394334760870200','Rosetta Morton','Kisug Way','2113-12-15'),
('7402900884705557','Sarah Wells','Maafo Drive','2032-06-27'),
('1687585656750561','Bertie Meyer','Rufa View','2104-10-26'),
('4866278757653984','Glen Lambert','Kizpo Trail','2027-04-09'),
('1697462384441815','Jeffrey Griffith','Cimiz Heights','2066-01-14'),
('2303849562976958','Dylan Hayes','Woji Loop','2069-08-09'),
('9850531611584179','Paul Marsh','Kudnep Court','2044-11-29'),
('0649461159621800','Ruby Mitchell','Heced Pass','2109-01-06'),
('3775787611133427','Johnny Wallace','Lehta View','2109-07-28'),
('7017809634036098','Linnie Gardner','Naga Street','2034-02-15'),
('6214330239090320','Steve Mullins','Pimu Court','2082-04-18'),
('2755756842246758','Emma Larson','Ikewic Mill','2063-02-03'),
('5993930341528933','Daisy Hubbard','Caal Junction','2043-11-29'),
('7227566230473984','Edgar Cummings','Kappal View','2105-09-01'),
('7573523204107955','Barry Meyer','Noare Trail','2108-03-18'),
('6183690118511609','Sadie Brewer','Rozu Loop','2124-02-23'),
('6111544876768542','Robert Warren','Corow Court','2086-03-02'),
('0907981761514795','Annie Hines','Egela Square','2124-05-21'),
('3103863509595027','Jessie Riley','Hihod Boulevard','2100-08-27'),
('9420965451203001','Mable Thomas','Mekda Road','2080-03-24'),
('5009032078242413','Nettie Brooks','Lemale Pass','2109-06-15'),
('3706805797278399','Lydia Kennedy','Abila Path','2066-12-25'),
('7323894769111565','Owen Colon','Egica Grove','2100-08-28'),
('0104728281297135','Madge Stephens','Nahfa Glen','2043-05-07'),
('3053514198437449','Maria Simpson','Biem Parkway','2058-05-08'),
('4364250171056875','Ophelia Clayton','Ifzup Trail','2122-01-22'),
('7296996643362628','Emilie Parker','Jouh Heights','2036-02-01'),
('6116736319904242','Sara Klein','Zudhi Turnpike','2069-05-27'),
('9061296227487009','Herbert Rivera','Wilu Way','2072-11-20'),
('7522744946178019','Ola Greer','Gufelo Parkway','2027-02-14'),
('9440310769532798','Carolyn Bishop','Vebuva Junction','2066-09-20'),
('8859781947316636','Nora Douglas','Rafne Heights','2089-06-11'),
('4335788686015224','Nelle Wallace','Powa Ridge','2061-03-07'),
('0939345799735021','Cole Johnston','Neccis Highway','2114-12-06'),
('0847735521452608','Inez Cohen','Wotup View','2080-08-03'),
('9605164040376849','Sarah Phillips','Jacwov Extension','2121-08-22'),
('1766650489297211','Rosetta Fitzgerald','Damuk Path','2121-07-16'),
('1331105746955219','Susie Bennett','Denaj Loop','2102-09-10'),
('8465814633133526','Brett Sims','Rile Manor','2087-03-21'),
('9687127333756625','Nettie Chavez','Utpu View','2073-04-03'),
('3954730880476410','Rena Hardy','Menla Mill','2098-03-08'),
('7579554971918978','Jennie Nelson','Wuwi Turnpike','2087-04-28'),
('5638648914962997','Beulah Hernandez','Sikoz Glen','2119-02-24'),
('9260899922195441','Pearl Hall','Bowa Way','2081-11-24'),
('3090113541109865','Hilda Johnston','Heto Circle','2048-06-30'),
('6670588489935553','Sam Boyd','Jajbus Junction','2075-05-30'),
('9293732593691007','Emily Hammond','Remo Path','2035-08-09'),
('3812315575050180','Norman Curtis','Ihepi Path','2098-12-22'),
('4811346265673657','Lula Sherman','Lacom Mill','2041-02-19'),
('1972453771434656','Vernon Ramirez','Famzu Circle','2086-06-10'),
('9493331188147725','Allie Hunter','Nuwa Drive','2057-02-25'),
('0986009220295286','Eula Jones','Adena Terrace','2063-03-14'),
('5101939192922555','Adele Hubbard','Vagfa Heights','2045-10-12'),
('7495006139325394','Albert Phelps','Ozmu Square','2067-01-12'),
('4188820509946881','Clarence Bush','Janul Court','2118-08-09'),
