INSERT INTO wali_siswa (nik, nama_w, alamat_w, tanggal_w) VALUES
('6111781954137595','Milton Gray','Akhoj Turnpike','2107-01-14'),
('4296600655566178','Susan Bryant','Ucahan Way','2038-09-03'),
('4398951991301801','Gary Warner','Nofbe River','2038-09-06'),
('1363436429159498','Louis Stephens','Zozus Path','2117-06-05'),
('9588882006800568','Beatrice Harmon','Ewiwil Grove','2108-11-14'),
('6576787423308562','Eula Reid','Ravu Ridge','2074-12-11'),
('6353656752642562','Austin Hines','Wilra Street','2050-03-09'),
('1025815354831693','Genevieve Reeves','Vezaj Point','2052-03-02'),
('4052213050104602','Lilly Myers','Situ Grove','2075-01-12'),
('3221238606471902','Julian Saunders','Gobun Plaza','2068-06-06'),
('9662397225777828','Garrett Moore','Vori Manor','2120-04-18'),
('9810745408223284','Robert Bowman','Ezdo Plaza','2109-04-21'),
('5339217337611435','Annie Christensen','Hadohu Junction','2117-09-17'),
('4722511297979291','Hulda Brady','Teeh Key','2125-05-07'),
('9073862803443536','Elva Hawkins','Ubupa Boulevard','2094-02-01'),
('1734491450248556','Rebecca Benson','Vuro Way','2050-12-02'),
('3892080178011563','Aaron Williams','Agul Street','2111-08-13'),
('2198005695124189','Daniel Pope','Junudi Street','2043-07-03'),
('1022405748322534','Cora Chapman','Japma Park','2033-12-09'),
('9100724881589398','Genevieve Edwards','Ijuhoz Grove','2107-10-22'),
('6994272702480180','Stanley Mathis','Vesvot Heights','2118-05-27'),
('8644104123688718','Richard Bass','Nolnil Lane','2113-08-25'),
('9115577166871504','Melvin Perez','Tiwi Point','2108-10-26'),
('0040065873926594','Pauline Shaw','Ituvo Boulevard','2084-05-07'),
('7790125881311374','Luke Erickson','Dakgon Glen','2032-02-21'),
('7576968164683615','Alejandro King','Ebomo Key','2125-02-14'),
('1263346508575103','Cameron Vasquez','Ninaj Glen','2043-11-25'),
('3850840352619551','Ivan Griffin','Odzaf Extension','2085-08-20'),
('0327500552759041','Myra Owens','Neud Square','2036-05-19'),
('9674773647229419','Cecilia Oliver','Zisfi Street','2109-02-17'),
('9573572103336607','Darrell Ramos','Iclo Terrace','2069-09-03'),
('0019766246547184','Dora Norman','Jojsi View','2028-02-27'),
('2696873906182260','Nina Rose','Guwmuc View','2055-03-25'),
('5392337747959100','Nora Tucker','Alire Way','2026-04-15'),
('9487910197901228','Eugene Carpenter','Ijmi Trail','2088-02-12'),
('9637090320070450','Jason Fernandez','Hirop View','2120-06-27'),
('5616111977552396','Rodney Tyler','Upeoz Avenue','2072-10-21'),
('0824368411961715','Lizzie Watts','Egud Path','2087-11-12'),
('1265534558276383','Sallie Nash','Vepus Pike','2125-03-16'),
('7008427585518121','Lee Hamilton','Debsar Pike','2109-07-03'),
('3339617887204670','Catherine Warren','Derub Drive','2032-10-23'),
('6421353221473919','Justin Myers','Vanfe Plaza','2122-06-17'),
('5906848247858018','Jesse Montgomery','Esmak Turnpike','2121-10-13'),
('4277056569695006','Justin Cole','Pujih Center','2115-08-25'),
('1317126394482085','Tom Cummings','Nuzdi Extension','2095-05-14'),
('3026198110271877','Shawn McGuire','Opope Path','2044-07-14'),
('2519004620653340','Tyler Hampton','Vechik Trail','2117-10-17'),
('4596387879635532','Joe Rodriguez','Cazvep Manor','2060-12-12'),
('8447360057441542','Kenneth Elliott','Lonsa Point','2047-06-24'),
('5123988540322549','Jim Massey','Jejdoj Court','2032-01-01'),
('6006003647354435','Aiden Phillips','Gozwi Parkway','2088-02-25'),
('4011267387270781','Isaac Manning','Nihes Turnpike','2066-01-20'),
('6939033781723695','Phoebe Ray','Ekeko Turnpike','2095-08-20'),
('1122378968580936','Jimmy Daniel','Hagna Pass','2100-01-05'),
('2380668958535279','Sophia Roberson','Pasi Boulevard','2073-04-06'),
('7563274442912370','Josie Page','Tokiz Way','2048-04-14'),
('8836414855219437','Oscar Becker','Gigsod Square','2026-12-16'),
('5238767401754431','Irene Marsh','Doser Path','2082-03-20'),
('1048916762863199','Jordan Newton','Pioc Lane','2074-01-19'),
('5666404711918322','Lillie Brady','Caplel Parkway','2095-04-13'),
('0875135866207393','Nell Underwood','Lodka Place','2124-11-19'),
('9129295278848051','Jeffery Rhodes','Veggo Path','2088-02-01'),
('2988217691016057','Hulda Norris','Ziwtal Path','2030-06-13'),
('7415705765573887','Frank Wise','Ukra Key','2103-12-04'),
('0677148732124745','Harold Ingram','Raho Park','2067-04-13'),
('9365939512812132','Estelle Sanders','Ofejes Loop','2093-01-30'),
('3358575427189536','Emilie Allison','Vogopi Point','2099-12-22'),
('2919470982539385','Bettie Stevenson','Runiz Mill','2063-03-06'),
('7904793984652909','Hallie Tucker','Uwheb Plaza','2075-05-16'),
('2615119080375698','Cora Terry','Ziro Junction','2080-01-07'),
('3240487249386924','Violet Curtis','Zusle Way','2043-11-07'),
('4890939668732536','Esther Sparks','Maze Point','2116-04-11'),
('6176634034362597','Samuel McKenzie','Kute Heights','2098-02-14'),
('8088265028895820','Willie Briggs','Zomaw Parkway','2095-12-09'),
('4216645027742589','Fannie Pratt','Luupi Manor','2106-09-25'),
('8354448150338822','Ola Parker','Camiv Circle','2053-02-01'),
('2333773876741505','Shane Carroll','Esmi Turnpike','2122-12-29'),
('9099264906679926','Victor Daniels','Fodobe Road','2047-06-17'),
('7611027958279782','Ryan James','Sugiv Ridge','2037-03-13'),
('2382695875507639','Don Green','Vidha Drive','2038-03-02'),
('1432980112811895','Kyle Carson','Laza Highway','2071-01-05'),
('6864193777139520','Elnora Hoffman','Hidiw Turnpike','2045-10-19'),
('7429781671621129','Elva Robertson','Kecamo Way','2052-03-28'),
('9113618391306693','Mark West','Toafa Mill','2027-12-15'),
('2587065505085519','Daniel Moody','Lowpoj Court','2041-02-26'),
('6513950301445455','Antonio Tate','Rana Lane','2096-01-28'),
('7406378479040578','Maurice Copeland','Cahu Square','2115-06-04'),
('6542466166368550','Lucille Keller','Daup Terrace','2068-01-05'),
('5773025203845945','Louis McCormick','Bidoko Loop','2065-12-15'),
('2698642180170848','Mario Stevenson','Mivder Square','2058-01-08'),
('8849956935296714','Lucile Walton','Reda Street','2085-06-21'),
('1304689221280471','Lydia Griffin','Tucwez Plaza','2063-10-03'),
('6270076716438472','Mae Weber','Cale Heights','2047-11-05'),
('9297009534947097','Matthew Morales','Meaj River','2047-06-01'),
('5541541409053824','Lillie Holloway','Riowa Highway','2052-03-17'),
('8304066131373702','Brett Robertson','FajuExtension','2094-10-28'),
('0585082091695151','Erik Hoffman','Rahiwo Terrace','2100-01-03'),
('7857793616178100','Sam Blake','Nuckef Path','2057-09-25'),
('2468801197423983','Beatrice Goodman','Ezda Street','2045-09-17'),
('6593884222891667','Helena Murray','Nuhu Path','2026-04-16')
